"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"RS_COMPONENTS_1674235_PURCHASE_URL";"RS_COMPONENTS_7099038P_PURCHASE_URL";"RS_COMPONENTS_7099038_PURCHASE_URL";"RS_COMPONENTS_7867096P_PURCHASE_URL";"RS_COMPONENTS_7867096_PURCHASE_URL";"RS_COMPONENTS_9215119_PURCHASE_URL";"SNAPEDA_LINK";"SPICEMODEL";"SPICEPREFIX";
"B1";"18650_HOLDER";"18650_HOLDER";"18650";"18650 holder";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"100n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"C2";"10u";"CC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"C3";"100n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"C4";"33pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"";"";"C";
"C5";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"";"";"C";
"C6";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"";"";"C";
"C7";"0.22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"";"";"C";
"C8";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"";"";"C";
"C11";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"";"";"C";
"C12";"10u";"CC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"C13";"100n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"C14";"10u";"CC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"C15";"100n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"C16";"100uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"";"";"C";
"C17";"100uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"";"";"C";
"C18";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"";"";"C";
"C20";"0.1uF";"CC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"C21";"0.1uF";"CC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"D1";"MSQA6V1W5T2G";"MSQA6V1W5T2G";"SC88A";"ESD Protection Diode Array  Check availability";"In Stock";"https://www.snapeda.com/parts/MSQA6V1W5T2G/Onsemi/view-part/?ref=eda";" Clamp Ipp Tvs Diode Surface Mount SC-88A (SC-70-5/SOT-353) ";"";"onsemi";"MSQA6V1W5T2G";"";"";"";"SC-88A-5 ON Semiconductor";"";"None";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=7122110&manufacturer=onsemi&part_name=MSQA6V1W5T2G&search_term=msqa6v1w5t2g";"";"";"";"";"";"";"https://www.snapeda.com/parts/MSQA6V1W5T2G/Onsemi/view-part/?ref=snap";"";"";
"D2";"PESD5V0X1UB";"PESD5V0X1UB";"SOD523";"Ultra low capacitance unidirectional ElectroStatic Discharge (ESD) protection diode in a";"In Stock";"https://www.snapeda.com/parts/PESD5V0X1UB/Nexperia/view-part/?ref=eda";" 8V (Typ) Clamp 1.5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-523 ";"";"Nexperia USA";"PESD5V0X1UB";"";"";"";"SOD-523 NXP Semiconductors";"";"None";"";"";"";"";"";"";"";"https://www.snapeda.com/parts/PESD5V0X1UB/Nexperia/view-part/?ref=snap";"";"";
"D3";"PESD5V0X1UB";"PESD5V0X1UB";"SOD523";"Ultra low capacitance unidirectional ElectroStatic Discharge (ESD) protection diode in a";"In Stock";"https://www.snapeda.com/parts/PESD5V0X1UB/Nexperia/view-part/?ref=eda";" 8V (Typ) Clamp 1.5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-523 ";"";"Nexperia USA";"PESD5V0X1UB";"";"";"";"SOD-523 NXP Semiconductors";"";"None";"";"";"";"";"";"";"";"https://www.snapeda.com/parts/PESD5V0X1UB/Nexperia/view-part/?ref=snap";"";"";
"IO5";"TP";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";"";"";
"IO36";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";"";"";
"IO39";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";"";"";
"J1";"U.FL-R-SMT(01)";"U.FL-R-SMT(01)";"HRS_U.FL-R-SMT(01)";"U.FL Series 6 Ghz 50 Ohm Ultra-small SMT Coaxial Cable Receptacle Check availability";"In Stock";"https://www.snapeda.com/parts/U.FL-R-SMT(01)/Hirose+Electric+Co+Ltd/view-part/?ref=eda";" U.FL (UMCC) Connector Receptacle, Male Pin 50Ohm Surface Mount Solder. RF Connectors / Coaxial Connectors ";"";"Hirose";"U.FL-R-SMT(01)";"";"";"";"None";"";"None";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=49572&manufacturer=Hirose&part_name=U.FL-R-SMT(01)&search_term=None";"";"";"";"";"";"";"https://www.snapeda.com/parts/U.FL-R-SMT(01)/Hirose+Electric+Co+Ltd/view-part/?ref=snap";"";"";
